title,detail_url,org,price,delivery,scenarios,tags,cert_img
铁路及周边构筑物高精度点云信息采集系统,https://dex.hubei-data.com/product/detail/1779,武汉纵横天地空间信息技术有限公司,面议,线下交付,智慧交通，公共安全，应急管理,"['互联互通', '可交易']",https://dex.hubei-data.com/file/sjjy-prod/tmp/upload/2025/11/26/productCertificate_20251126153809A004.png
低空城市空间数字孪生一张图,https://dex.hubei-data.com/product/detail/939,中科星图数字地球合肥有限公司,面议,下载地址,智慧交通，智慧城市，数字政务，智慧文旅,"['互联互通', '可交易']",https://dex.hubei-data.com/file/sjjy-prod/tmp/upload/2025/09/07/productCertificate_20250907180908A011.png
全国低空孪生底座一张图,https://dex.hubei-data.com/product/detail/938,中科星图数字地球合肥有限公司,面议,下载地址,智慧交通，智慧城市，数字政务,"['互联互通', '可交易']",https://dex.hubei-data.com/file/sjjy-prod/tmp/upload/2025/09/07/productCertificate_20250907180819A010.png
全国低空障碍物模型服务,https://dex.hubei-data.com/product/detail/937,中科星图数字地球合肥有限公司,面议,下载地址,智慧交通，智慧城市，智慧物流，应急管理,"['互联互通', '可交易']",https://dex.hubei-data.com/file/sjjy-prod/tmp/upload/2025/09/07/productCertificate_20250907180732A012.png
全国低空地物覆盖矢量服务,https://dex.hubei-data.com/product/detail/936,中科星图数字地球合肥有限公司,面议,下载地址,智慧城市，数字政务，智慧能源，农业农村,"['互联互通', '可交易']",https://dex.hubei-data.com/file/sjjy-prod/tmp/upload/2025/10/02/productCertificate_20251002150859A266.png
全国低空道路模型服务,https://dex.hubei-data.com/product/detail/935,中科星图数字地球合肥有限公司,面议,下载地址,智慧交通，智慧城市，数字政务,"['互联互通', '可交易']",https://dex.hubei-data.com/file/sjjy-prod/tmp/upload/2025/09/07/productCertificate_20250907180719A011.png
全国低空树木模型服务,https://dex.hubei-data.com/product/detail/934,中科星图数字地球合肥有限公司,面议,下载地址,智慧城市，数字政务,"['互联互通', '可交易']",https://dex.hubei-data.com/file/sjjy-prod/tmp/upload/2025/09/07/productCertificate_20250907180802A013.png
热力管网巡检数据集,https://dex.hubei-data.com/product/detail/1836,随州聚鑫大数据运营有限公司,面议,下载地址,科学实验，低空经济，公共安全,"['合规认证', '可交易']",https://dex.hubei-data.com/file/sjjy-prod/tmp/upload/2025/12/30/productCertificate_20251230173431A112.png
城市活动特征分析算法模型,https://dex.hubei-data.com/product/detail/1835,武汉市规划研究院（武汉市交通发展战略研究院）,面议,线下交付,智慧交通，智慧城市,"['合规认证', '可交易']",https://dex.hubei-data.com/file/sjjy-prod/tmp/upload/2025/12/31/productCertificate_20251231094314A115.png
城市货车运行特征分析算法模型,https://dex.hubei-data.com/product/detail/1834,武汉市规划研究院（武汉市交通发展战略研究院）,面议,线下交付,智慧交通，智慧城市,"['合规认证', '可交易']",https://dex.hubei-data.com/file/sjjy-prod/tmp/upload/2025/12/31/productCertificate_20251231094515A119.png
城市共享单车容纳量测算模型,https://dex.hubei-data.com/product/detail/1833,武汉市规划研究院（武汉市交通发展战略研究院）,面议,线下交付,智慧交通，智慧城市,"['合规认证', '可交易']",https://dex.hubei-data.com/file/sjjy-prod/tmp/upload/2025/12/31/productCertificate_20251231094532A130.png
城市公共交通出行分析算法模型,https://dex.hubei-data.com/product/detail/1825,武汉市规划研究院（武汉市交通发展战略研究院）,面议,线下交付,智慧交通，智慧城市,"['合规认证', '可交易']",https://dex.hubei-data.com/file/sjjy-prod/tmp/upload/2025/12/31/productCertificate_20251231094442A118.png
城市常规公交规模测算模型,https://dex.hubei-data.com/product/detail/1824,武汉市规划研究院（武汉市交通发展战略研究院）,面议,线下交付,智慧交通，智慧城市,"['合规认证', '可交易']",
产业链发育度分析模型,https://dex.hubei-data.com/product/detail/1823,武汉市规划研究院（武汉市交通发展战略研究院）,面议,线下交付,智慧城市,"['合规认证', '可交易']",
商家活跃度分析报告,https://dex.hubei-data.com/product/detail/1820,湖北省港润大数据产业发展有限公司,面议,下载地址,消费互联网，民生服务，其他,"['合规认证', '可交易']",
招标文件审核关联数据集,https://dex.hubei-data.com/product/detail/1817,湖北省招标股份有限公司,面议,下载地址,电子商务,"['合规认证', '可交易']",
创新街区评价模型构建方法及装置,https://dex.hubei-data.com/product/detail/1811,武汉市规划研究院（武汉市交通发展战略研究院）,面议,线下交付,智慧城市,"['合规认证', '可交易']",
数鉴·科创引擎数据集,https://dex.hubei-data.com/product/detail/1809,武汉索元数据信息有限公司,面议,下载地址,人工智能，民生服务，智慧城市，金融科技，数字政务,"['合规认证', '可交易']",
基于动态计算的人类蛋白质科学高质量数据集V2.0,https://dex.hubei-data.com/product/detail/1808,长江科算（湖北）信息科技有限公司,￥4000000,下载地址,人工智能，生物制造,"['合规认证', '可交易']",
智慧工地· 工程安全风险预警数据集,https://dex.hubei-data.com/product/detail/1806,湖北省工业建筑集团有限公司,面议,下载地址,智慧城市，住房建设，应急管理,"['合规认证', '可交易']",
充电桩收益分析,https://dex.hubei-data.com/product/detail/1805,安陆涢科数智城市运营服务有限公司,面议,下载地址,智慧交通，智慧能源,"['合规认证', '可交易']",
工程供应商智评360,https://dex.hubei-data.com/product/detail/1802,湖北联投咨询管理有限公司,面议,下载地址,其他，消费互联网，电子商务,"['合规认证', '可交易']",
枝江市姚家港化工园基础设施数据集,https://dex.hubei-data.com/product/detail/1801,湖北省港润大数据产业发展有限公司,面议,API接口,应急管理，公共安全，智慧物流，其他,"['合规认证', '可交易']",
风电场全链路运行监测数据集,https://dex.hubei-data.com/product/detail/1799,涡阳县康风新能源有限公司,面议,下载地址,绿色低碳，智能制造，智慧能源,"['合规认证', '可交易']",
城市15分钟生活圈可达性分析算法模型,https://dex.hubei-data.com/product/detail/1798,武汉市规划研究院（武汉市交通发展战略研究院）,面议,线下交付,智慧交通，智慧城市,"['合规认证', '可交易']",
数据合规法律服务,https://dex.hubei-data.com/product/detail/1797,上海申同律师事务所,面议,线下交付,智慧交通，金融科技，智慧城市，智能制造,['可交易'],
公立医院财务制证规则数据集,https://dex.hubei-data.com/product/detail/1796,华中科技大学同济医学院附属协和医院,面议,下载地址,智慧医疗，人工智能，其他,"['合规认证', '可交易']",
大冶市智慧停车与充电运营应用数据分析报告,https://dex.hubei-data.com/product/detail/1795,大冶市城发智慧停车管理有限公司,面议,下载地址,智慧交通，智慧城市，绿色低碳,"['合规认证', '可交易']",
联链E信金融大数据服务数据产品,https://dex.hubei-data.com/product/detail/1785,湖北联合资信评估有限公司,面议,下载地址,金融科技,"['合规认证', '可交易']",
交通可达性分析算法模型,https://dex.hubei-data.com/product/detail/1783,武汉市规划研究院（武汉市交通发展战略研究院）,面议,线下交付,智慧城市，智慧交通,"['合规认证', '可交易']",
企业科创能力评估数据产品,https://dex.hubei-data.com/product/detail/1780,湖北科创供应链有限公司,面议,下载地址,金融科技，消费互联网，智能制造，数字政务，民生服务,"['合规认证', '可交易']",
湖北安腾区域用水活跃度分析报告,https://dex.hubei-data.com/product/detail/1778,湖北安腾科技产业有限公司,面议,下载地址,智慧城市，数字政务，民生服务,"['合规认证', '可交易']",
沙洋县公共交通运营（公交、停车场）数据分析报告,https://dex.hubei-data.com/product/detail/1777,沙洋县公共交通有限公司,面议,下载地址,智慧交通,"['合规认证', '可交易']",
新媒体管理考核平台,https://dex.hubei-data.com/product/detail/1774,北京清博智能科技有限公司,面议,线下交付,公共安全，数字政务，智慧城市，人工智能，消费互联网，智慧文旅，教育教学，其他,"['合规认证', '可交易']",
清博舆情系统,https://dex.hubei-data.com/product/detail/1773,北京清博智能科技有限公司,面议,线下交付,消费互联网，智慧文旅，数字政务，民生服务，公共安全，其他,"['合规认证', '可交易']",
“居民用水关怀”数据服务,https://dex.hubei-data.com/product/detail/1770,湖北安腾科技产业有限公司,面议,下载地址,智慧城市，数字政务，民生服务，其他,"['合规认证', '可交易']",
湖北安腾企业级用水量分析,https://dex.hubei-data.com/product/detail/1769,湖北安腾科技产业有限公司,面议,下载地址,数字政务，民生服务，教育教学，公共安全,"['合规认证', '可交易']",
企业数据业务咨询服务,https://dex.hubei-data.com/product/detail/1767,武汉市数苍科技服务有限公司,面议,线下交付,智慧交通，农业农村，电子商务，智能制造，智慧医疗，智慧物流，智慧文旅，智慧能源，低空经济，其他，智能驾驶,['可交易'],
安全监测模型,https://dex.hubei-data.com/product/detail/1766,武汉中交沌口长江大桥投资有限公司,面议,下载地址,智能制造，其他,"['合规认证', '可交易']",
风险预警模型,https://dex.hubei-data.com/product/detail/1765,武汉中交沌口长江大桥投资有限公司,面议,下载地址,智能制造，其他,"['合规认证', '可交易']",
企业数据经纪服务,https://dex.hubei-data.com/product/detail/1762,湖北楚数通数据科技有限公司,面议,线下交付,智慧交通，数字政务，智慧能源，其他，低空经济，农业农村，身份验证，气象气候，金融科技，民生服务，教育教学，具身智能，智能驾驶，电子商务，人工智能，智慧医疗，智慧城市，消费互联网，人力资源，智慧海洋，生物制造，住房建设，自然资源，公共安全，绿色低碳，应急管理，智能制造，保险科技，航空航天，智慧物流，智慧文旅，科学实验,['可交易'],
武汉轨道交通16号线岩土工程地质勘察数据集,https://dex.hubei-data.com/product/detail/1758,武汉地铁集团有限公司,面议,下载地址,智慧交通，智慧城市,"['合规认证', '可交易']",
孝南智慧园区全要素实景三维模型,https://dex.hubei-data.com/product/detail/1757,湖北全擎建设咨询有限公司,面议,下载地址,自然资源,"['合规认证', '可交易']",
基于动态计算的人类蛋白质科学高质量数据集V1.0,https://dex.hubei-data.com/product/detail/1756,长江科算（湖北）信息科技有限公司,￥3000000,下载地址,科学实验，人工智能，生物制造,"['合规认证', '可交易']",
十堰市茅箭区低空数字孪生视角,https://dex.hubei-data.com/product/detail/1755,十堰高科数字产业有限公司,面议,下载地址,应急管理，其他,"['合规认证', '可交易']",
数据经纪服务,https://dex.hubei-data.com/product/detail/1749,北京市隆安（武汉）律师事务所,面议,线下交付,智慧交通，智慧物流，生物制造，住房建设，智慧文旅，气象气候，金融科技，智慧能源，自然资源，农业农村，智慧医疗，智慧城市，教育教学，电子商务，保险科技，人力资源，航空航天，科学实验，应急管理，绿色低碳，数字政务，身份验证，公共安全，其他，民生服务，人工智能，低空经济，具身智能，消费互联网，智能制造，智能驾驶，智慧海洋,['可交易'],
数据合规认证,https://dex.hubei-data.com/product/detail/1748,北京市隆安（武汉）律师事务所,面议,线下交付,智慧交通，智慧物流，生物制造，住房建设，气象气候，智慧文旅，金融科技，智慧能源，自然资源，农业农村，智慧医疗，智慧城市，教育教学，电子商务，保险科技，航空航天，人力资源，科学实验，应急管理，绿色低碳，数字政务，身份验证，公共安全，其他，民生服务，人工智能，低空经济，具身智能，消费互联网，智能制造，智能驾驶，智慧海洋,['可交易'],
随州区域企业每月用水脱敏数据集,https://dex.hubei-data.com/product/detail/1747,随州盛源水务有限公司,面议,下载地址,智慧城市，数字政务，绿色低碳，智能制造,"['合规认证', '可交易']",
石首停车系统数据产品,https://dex.hubei-data.com/product/detail/1746,石首市博雅城市建设投资有限公司,面议,下载地址,智慧交通，金融科技，智慧城市，智慧物流，其他，智能驾驶，民生服务,"['合规认证', '可交易']",
数据资源入表咨询服务,https://dex.hubei-data.com/product/detail/1745,武汉康力会计师事务有限责任公司,面议,线下交付,金融科技，智慧交通，数字政务，农业农村，电子商务，智慧城市，其他，公共安全，人工智能,['可交易'],
金信无忧,https://dex.hubei-data.com/product/detail/950,咸宁金融投资集团有限责任公司,面议,API接口,金融科技,"['合规认证', '可交易']",
鄂州企业用水行为洞察,https://dex.hubei-data.com/product/detail/948,鄂州市水务集团有限公司,面议,下载地址,金融科技，智慧城市,"['合规认证', '可交易']",
兴港e充大数据运营与决策支持分析报告,https://dex.hubei-data.com/product/detail/947,孝感兴港新能源有限公司,面议,下载地址,智慧交通,"['合规认证', '可交易']",
鄂州城市自来水经营洞察,https://dex.hubei-data.com/product/detail/946,鄂州市水务集团有限公司,面议,下载地址,民生服务，智慧城市,"['合规认证', '可交易']",
数据合规服务,https://dex.hubei-data.com/product/detail/940,湖北维力律师事务所,面议,线下交付,其他,['可交易'],
入表会计处理服务,https://dex.hubei-data.com/product/detail/932,湖北国盛则明会计师事务所（特殊普通合伙）,面议,线下交付,智慧交通，智能制造，气象气候，智慧物流，金融科技，智慧文旅，智慧医疗，智慧能源，农业农村，智慧城市，保险科技，教育教学，电子商务，航空航天，科学实验，人力资源，应急管理，数字政务，身份验证，绿色低碳，公共安全，民生服务，人工智能，其他，消费互联网,['可交易'],
停车分布数据产品,https://dex.hubei-data.com/product/detail/915,潜江市智行城市建设有限公司,面议,下载地址,智慧交通，智慧物流,"['合规认证', '可交易']",
充电桩运营数据产品,https://dex.hubei-data.com/product/detail/914,潜江市城捷新能源有限公司,面议,下载地址,智慧交通，智慧物流，消费互联网,"['合规认证', '可交易']",
数据治理专项人才培训,https://dex.hubei-data.com/product/detail/898,武汉市数苍科技服务有限公司,面议,线下交付,智慧交通，数字政务，智慧物流，智慧文旅，智慧医疗，智慧城市，航空航天，民生服务，智能制造，科学实验,['可交易'],
武汉轨道交通岩土工程地质勘察数据集,https://dex.hubei-data.com/product/detail/895,武汉地铁集团有限公司,面议,下载地址,智慧交通，智慧城市,"['合规认证', '可交易']",
入表会计处理服务,https://dex.hubei-data.com/product/detail/893,信永中和会计师事务所（特殊普通合伙）深圳分所,面议,线下交付,智慧交通，数字政务，身份验证，气象气候，金融科技，民生服务，智慧医疗，人工智能，智慧城市，消费互联网，保险科技，智能制造，航空航天，智慧物流，科学实验，智慧文旅,['可交易'],
企业数据资产评估,https://dex.hubei-data.com/product/detail/892,贯文网络科技（苏州）有限公司,面议,线下交付,智慧交通，智能制造，气象气候，智慧物流，智慧文旅，金融科技，智慧医疗，智慧城市，保险科技，航空航天，科学实验，数字政务，身份验证，民生服务，人工智能，消费互联网,['可交易'],
企业数据托管,https://dex.hubei-data.com/product/detail/890,贯文网络科技（苏州）有限公司,面议,线下交付,智慧交通，智能制造，气象气候，智慧物流，金融科技，智慧文旅，智慧医疗，智慧城市，保险科技，航空航天，科学实验，数字政务，身份验证，民生服务，人工智能，消费互联网,['可交易'],
企业数据公证,https://dex.hubei-data.com/product/detail/889,贯文网络科技（苏州）有限公司,面议,线下交付,智慧交通，智能制造，气象气候，智慧物流，金融科技，智慧文旅，智慧医疗，智慧城市，保险科技，航空航天，科学实验，数字政务，身份验证，民生服务，人工智能，消费互联网,['可交易'],
企业数据经纪,https://dex.hubei-data.com/product/detail/888,贯文网络科技（苏州）有限公司,面议,线下交付,智慧交通，气象气候，智能制造，智慧物流，智慧文旅，金融科技，智慧医疗，智慧城市，保险科技，航空航天，科学实验，数字政务，身份验证，民生服务，人工智能，消费互联网,['可交易'],
企业数据安全审计,https://dex.hubei-data.com/product/detail/887,贯文网络科技（苏州）有限公司,面议,线下交付,智慧交通，气象气候，金融科技，智慧医疗，智慧城市，保险科技，航空航天，科学实验，数字政务，身份验证，民生服务，消费互联网，人工智能，智能制造，智慧物流，智慧文旅,['可交易'],
企业数据资产价值模型与评定,https://dex.hubei-data.com/product/detail/885,贯文网络科技（苏州）有限公司,面议,线下交付,智慧交通，金融科技，智慧医疗，智慧城市，保险科技，航空航天，科学实验，数字政务，身份验证，民生服务，人工智能，消费互联网，智能制造，智慧物流，智慧文旅，气象气候,['可交易'],
停车场信息查询服务,https://dex.hubei-data.com/product/detail/884,鄂州市城市大数据产业发展有限公司,面议,API接口,智慧交通，智慧城市,"['合规认证', '可交易']",
食品安全风险防控大数据分析预警平台,https://dex.hubei-data.com/product/detail/881,食安康（湖北）科技有限公司,面议,线下交付,民生服务，智慧城市,"['合规认证', '可交易']",
数智化食品安全快检室,https://dex.hubei-data.com/product/detail/880,食安康（湖北）科技有限公司,面议,线下交付,民生服务，智慧城市,"['合规认证', '可交易']",
投融资、上市公司数据合规调查,https://dex.hubei-data.com/product/detail/876,北京市京师（武汉）律师事务所,面议,线下交付,智慧交通，人工智能，民生服务，气象气候，消费互联网，金融科技，智慧医疗，智能制造，智慧物流，智慧城市，保险科技，智慧文旅，航空航天，科学实验，数字政务，身份验证,['可交易'],
网络安全自查,https://dex.hubei-data.com/product/detail/875,北京市京师（武汉）律师事务所,面议,线下交付,智慧交通，气象气候，人工智能，消费互联网，金融科技，民生服务，智能制造，智慧医疗，智慧城市，智慧物流，智慧文旅，保险科技，航空航天，科学实验，数字政务，身份验证,['可交易'],
数据业务模式合规审查,https://dex.hubei-data.com/product/detail/874,北京市京师（武汉）律师事务所,面议,线下交付,智慧交通，民生服务，人工智能，气象气候，金融科技，消费互联网，智能制造，智慧医疗，智慧城市，智慧物流，智慧文旅，保险科技，航空航天，科学实验，数字政务，身份验证,['可交易'],
数据标注合规,https://dex.hubei-data.com/product/detail/873,北京市京师（武汉）律师事务所,面议,线下交付,气象气候，民生服务，智慧交通，金融科技，人工智能，消费互联网，智能制造，智慧医疗，智慧城市，智慧物流，智慧文旅，保险科技，航空航天，科学实验，数字政务，身份验证,['可交易'],
企业数据合规体系构建,https://dex.hubei-data.com/product/detail/872,北京市京师（武汉）律师事务所,面议,线下交付,智慧交通，气象气候，人工智能，金融科技，消费互联网，民生服务，智慧医疗，智能制造，智慧城市，智慧物流，智慧文旅，保险科技，航空航天，科学实验，数字政务，身份验证,['可交易'],
数据交易合规,https://dex.hubei-data.com/product/detail/871,北京市京师（武汉）律师事务所,面议,线下交付,智慧交通，民生服务，气象气候，人工智能，消费互联网，金融科技，智能制造，智慧医疗，智慧城市，智慧物流，智慧文旅，保险科技，航空航天，科学实验，数字政务，身份验证,['可交易'],
数据出境安全评估,https://dex.hubei-data.com/product/detail/870,北京市京师（武汉）律师事务所,面议,线下交付,智慧交通，民生服务，人工智能，气象气候，金融科技，消费互联网，智慧医疗，智能制造，智慧城市，智慧物流，保险科技，智慧文旅，航空航天，科学实验，数字政务，身份验证,['可交易'],
律师服务（法律尽调与合规评估）,https://dex.hubei-data.com/product/detail/864,北京市君泽君（武汉）律师事务所,面议,线下交付,智慧交通，气象气候，金融科技，智慧医疗，智慧城市，保险科技，航空航天，科学实验，数字政务，身份验证，民生服务，人工智能，消费互联网，智能制造，智慧文旅，智慧物流,['可交易'],
官猫数据资产司法鉴定,https://dex.hubei-data.com/product/detail/855,湖北中新科维检验检测有限公司,面议,线下交付,智慧交通，数字政务，气象气候，身份验证，金融科技，民生服务，智慧医疗，人工智能，智慧城市，消费互联网，保险科技，智能制造，航空航天，智慧物流，科学实验，智慧文旅,['可交易'],
官猫电子数据技术性鉴定服务,https://dex.hubei-data.com/product/detail/854,湖北中新科维检验检测有限公司,面议,线下交付,智慧交通，数字政务，身份验证，气象气候，金融科技，民生服务，人工智能，智慧医疗，智慧城市，消费互联网，保险科技，智能制造，航空航天，智慧物流，科学实验，智慧文旅,['可交易'],
U-Insight 青年安居智鉴,https://dex.hubei-data.com/product/detail/853,湖北省住房保障建设管理有限公司,面议,下载地址,民生服务,"['合规认证', '可交易']",
数据资产入表-数据合规评估服务,https://dex.hubei-data.com/product/detail/851,北京市京师（武汉）律师事务所,面议,线下交付,智慧交通，人工智能，消费互联网，气象气候，金融科技，智能制造，智慧物流，智慧医疗，智慧城市，智慧文旅，保险科技，航空航天，科学实验，数字政务，身份验证，民生服务,['可交易'],
数据合规专项治理,https://dex.hubei-data.com/product/detail/850,北京大成（武汉）律师事务所,面议,线下交付,智慧交通，科学实验，智慧物流，智慧文旅，数字政务，气象气候，金融科技，身份验证，民生服务，智慧医疗，智慧城市，人工智能，消费互联网，保险科技，航空航天，智能制造,['可交易'],
数据资产入表一站式服务,https://dex.hubei-data.com/product/detail/849,北京大成（武汉）律师事务所,面议,线下交付,智慧交通，气象气候，金融科技，智慧医疗，智慧城市，航空航天，保险科技，科学实验，数字政务，身份验证，民生服务，人工智能，消费互联网，智能制造，智慧物流，智慧文旅,['可交易'],
数据资产评估,https://dex.hubei-data.com/product/detail/848,中通诚资产评估有限公司,面议,线下交付,智慧交通，智慧城市，智慧物流，航空航天,['可交易'],
科创链供需要素数据集,https://dex.hubei-data.com/product/detail/837,湖北科创供应链有限公司,面议,下载地址,数字政务，民生服务，金融科技，人工智能，智慧交通，智能制造，智慧物流，保险科技，智慧医疗，智慧城市，消费互联网，科学实验，航空航天,"['合规认证', '可交易']",
审计服务,https://dex.hubei-data.com/product/detail/836,永拓会计师事务所（特殊普通合伙）湖北分所,面议,线下交付,金融科技，民生服务,['可交易'],
工程现场管理风险预警数据集,https://dex.hubei-data.com/product/detail/833,武汉联投置业有限公司,面议,下载地址,智慧城市,"['合规认证', '可交易']",
晴川人才岗位数据分析报告,https://dex.hubei-data.com/product/detail/832,武汉市汉阳控股集团有限公司,面议,下载地址,民生服务,"['合规认证', '可交易']",
水体遥感监测一张图,https://dex.hubei-data.com/product/detail/831,中科星图数字地球合肥有限公司,面议,下载地址,保险科技，智慧城市，航空航天，科学实验，数字政务,"['合规认证', '可交易']",
耕地遥感监测一张图,https://dex.hubei-data.com/product/detail/830,中科星图数字地球合肥有限公司,面议,下载地址,数字政务，科学实验，航空航天，保险科技,"['合规认证', '可交易']",
林地遥感监测一张图,https://dex.hubei-data.com/product/detail/829,中科星图数字地球合肥有限公司,面议,下载地址,航空航天，科学实验，保险科技，数字政务,"['合规认证', '可交易']",
全国建筑物遥感监测,https://dex.hubei-data.com/product/detail/828,中科星图数字地球合肥有限公司,面议,下载地址,智能制造，智慧城市，航空航天,"['合规认证', '可交易']",
湖库蓝藻水华遥感监测,https://dex.hubei-data.com/product/detail/827,中科星图数字地球合肥有限公司,面议,下载地址,保险科技，航空航天，科学实验,"['合规认证', '可交易']",
亚米级位置图像编码,https://dex.hubei-data.com/product/detail/826,中科星图数字地球合肥有限公司,面议,下载地址,人工智能,"['合规认证', '可交易']",
输电线路隐患遥感监测,https://dex.hubei-data.com/product/detail/825,中科星图数字地球合肥有限公司,面议,下载地址,智能制造，智慧城市，保险科技，航空航天，科学实验，数字政务,"['合规认证', '可交易']",
